"All", "Wszystko"
"Role Scopes", "Zakresy ról"
"Custom", "Niestandardowe"
"Read Details", "Przeczytaj szczegóły"
"Mark as Read", "Oznacz jako przeczytane"
"Are you sure?", "Czy na pewno tego chcesz?"
"Remove", "Usuń"
"Messages Inbox", "Skrzynka odbiorcza"
"You have %1 new system messages", "Masz nowe wiadomości systemowe: %1"
"You have %1 new system message", "Masz %1 nową wiadomość systemową"
"Incoming Message", "Nowa wiadomość"
"close", "zamknij"
"Notifications", "Powiadomienia"
"The message has been marked as Read.", "Wiadomość została oznaczona jako przeczytana."
"We couldn't mark the notification as Read because of an error.", "Nie udało się oznaczyć powiadomienia jako przeczytane z powodu błędu."
"Please select messages.", "Wybierz wiadomości."
"A total of %1 record(s) have been marked as Read.", "W sumie %1 rekord(y) zostały oznaczone jako przeczytane."
"Total of %1 record(s) have been removed.", "W sumie %1 rekord(y) zostały usunięte."
"We couldn't remove the messages because of an error.", "Nie udało się usunąć wiadomości z powodu błędu."
"The message has been removed.", "Wiadomość została usunięta."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.", "Zobaczyłeś oraz rozwiązałeś wszystkie ostatnie powiadomienia systemowe. Odśwież stronę aby usunąć alert."
"1 Hour", "1 godz."
"2 Hours", "2 godz."
"6 Hours", "6 godz."
"12 Hours", "12 godz."
"24 Hours", "24 godz."
"critical", "krytyczny"
"major", "ważne"
"minor", "drobne"
"notice", "informacja"
"Wrong message type", "Nieprawidłowy typ wiadomości"
"Wrong notification ID specified.", "Niepoprawny ID powiadomienia."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.", "Nie zaleca się używania {{base_url}} jako bazowego adresu URL w środowisku produkcyjnym. Radzimy zmianę tej wartości w <a href=""%1"">konfiguracji</a>."
"One or more of the Cache Types are invalidated: %1. ", "Istnieją nieaktualne pamięci podręczne: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.", "Przejdź do <a href=""%1"">strony zarządzania pamięciami podręcznymi</a> i odśwież je."
"We were unable to synchronize one or more media files. Please refer to the log file for details.", "Nie byliśmy w stanie zsynchronizować jednego lub więcej plików multimedialnych. Zajrzyj do pliku z logami po więcej szczegółów."
"Synchronization of media storages has been completed.", "Ukończono synchronizację przechowalni multimediów."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.", "Twój serwer nie jest poprawnie skonfigurowany i pozwala na nieautoryzowany dostęp do wrażliwych plików. Skontaktuj się z dostawcą usług hostingowych."
"System Messages:", "Komunikaty systemowe:"
"Critical System Messages", "Krytyczny komunikat systemowy"
"Major System Messages", "Ważny komunikat systemowy"
"System messages", "Komunikaty systemowe"
"Close", "Zamknij"
"See All (", "Zobacz wszystkie ("
" unread)", " nieprzeczytane)"
"System Messages", "Wiadomości systemowe"
"Show Toolbar", "Pokaż pasek narzędzi"
"Show List", "Pokaż listę"
"Use HTTPS to Get Feed", "Używaj HTTPS do pobierania kanałów"
"Update Frequency", "Częstotliwość aktualizacji"
"Last Update", "Ostatnia aktualizacja"
"Severity", "Priorytet"
"Date Added", "Data dodania"
"Message", "Wiadomość"
"Manage Shopping Cart", "Zarządzaj koszykiem"
"Create Order", "Utwórz zamówienie"
"Back", "Powrót"
"Add Products", "Dodaj produkty"
"Update Items and Quantities", "Aktualizuj pozycje i ilości"
"Are you sure you want to clear your cart?", "Czy na pewno chcesz opróżnić koszyk?"
"Clear my shopping cart", "Opróżnij mój koszyk"
"Add selections to my cart", "Dodaj wybrane do koszyka"
"Cancel", "Anuluj"
"Shopping Cart for %1 in %2", "Koszyk dla %1 w %2"
"Select products you want to buy", "Wybierz produkty, które chcesz kupić"
"Product", "Produkt"
"Price", "Cena"
"Quantity", "Ilość"
"Products in the Comparison List (%1)", "Produkty na liście do porównania (%1)"
"Last ordered items (%1)", "Ostatnio zamówione (%1)"
"Products", "Produkty"
"ID", "Identyfikator"
"SKU", "SKU"
"Recently Compared Products (%1)", "Ostatnio porównywane produkty (%1)"
"Recently Viewed Products (%1)", "Ostatnio oglądane produkty (%1)"
"Add to Shopping Cart by SKU", "Dodaj do koszyka po SKU"
"Add to Shopping Cart", "Dodaj do koszyka"
"Wish List (%1)", "Lista życzeń (%1)"
"Apply", "Zastosuj"
"Configure", "Konfiguruj"
"Add to Order by SKU", "Dodaj do zamówienia po SKU"
"Add to Order", "Dodaj do zamówienia"
"Add Products to Order", "Dodaj produkty do zamówienia"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>", "<span>Produkt(y) wymagające sprawdzenia: <span id=""sku-attention-num"">%1</span></span>"
"Remove All", "Usuń wszystkie"
"Only %1%2%3 left in stock", "Zostało na stanie tylko %1%2%3"
"You can buy up to %1 of these per purchase.", "Maksymalna ilość do jednorazowego zakupu: %1."
"You must buy at least %1 of these per purchase.", "Minimalna liczba sztuk w jednym zamówieniu to %1."
"Specify the product's options.", "Określ opcje produktu."
"Alert me when this item is available.", "Powiadom mnie, gdy ten produkt będzie dostępny."
"This customer couldn't be found. Verify the customer and try again.", "Nie odnaleziono klienta. Zweryfikuj klienta i spróbuj ponownie."
"Shopping cart management is disabled for this customer.", "Zarządzanie koszykiem jest wyłączone dla tego klienta."
"This store couldn't be found. Verify the store and try again.", "Nie odnaleziono sklepu. Zweryfikuj sklep i spróbuj ponownie."
"Customers", "Klienci"
"Shopping Cart", "Koszyk"
"An error occurred. For details, see the error log.", "Wystąpił błąd. Szczegółowe informacje można znaleźć w dzienniku błędów."
"You do not have access to this.", "Nie posiadasz dostępu do tej sekcji."
"The ordered item needs to be loaded. Load the item and try again.", "Zamówiony przedmiot musi zostać załadowany. Załaduj przedmiot i spróbuj ponownie."
"The quote item ID needs to be received. Set the ID and try again.", "Należy otrzymać identyfikator pozycji oferty. Ustaw identyfikator i spróbuj ponownie."
"The quote item needs to be loaded. Load the item and try again.", "Oferta musi zostać załadowana. Załaduj element i spróbuj ponownie."
"The wish list item ID needs to be received. Set the ID and try again.", "Identyfikator elementu na liście życzeń jest wymagany. Ustaw identyfikator i spróbuj ponownie."
"The wish list item needs to be loaded. Load the item and try again.", "Element listy życzeń musi zostać załadowany. Załaduj element i spróbuj ponownie."
"An error has occurred. See error log for details.", "Wystąpił błąd. Sprawdź dziennik błędów, by uzyskać szczegółowe informacje."
"You cannot configure a product.", "Nie możesz skonfigurować produktu."
"You removed the items.", "Usunięto elementy."
"You removed the item.", "Usunięto element."
"You added %1 to your shopping cart.", "Dodałeś %1 do koszyka."
"You cannot add a product.", "Nie możesz dodać produktu."
"Order by SKU", "Sortuj po SKU"
"The SKU was not found in the catalog.", "Produkt nie został znaleziony w katalogu."
"Availability: Out of stock.", "Dostępność: brak."
"We don't have as many of these as you want.", "Wymagana ilość nie jest dostępna."
"You can't add this many to your cart.", "Nie można dodać takiej ilości do koszyka."
"You need to choose options for your item.", "Musisz wybrać opcje produktu."
"We can't add the item to your cart.", "Nie udało się dodać produktu do koszyka."
"Please enter an actual number in the ""Qty"" field.", "Wpisz liczbę w pole „Ilość”."
"This product is assigned to another website.", "Ten produkt jest przypisany do innej witryny."
"You can add only enabled products.", "Możesz dodać tylko włączone produkty."
"You cannot upload this file.", "Nie możesz wgrać tego pliku."
"The file is empty.", "Plik jest pusty."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.", "Nie podano żadnego SKU produktu. <a href=""%1"">Przejdź tutaj</a>, aby dodać produkt(y) po SKU."
"You have not entered a product SKU.", "Nie podałeś SKU produktu."
"We can't add a product to cart by id ""%1"".", "Nie udało się dodać do koszyka produktu o ID „%1”."
"Something went wrong while reordering this product.", "Wystąpił problem podczas zmiany kolejności tego produktu."
"We can't find this wish list.", "Nie udało się odnaleźć tej listy życzeń."
"You added %1 product to your shopping cart.", "Produkty dodane do koszyka: %1."
"You added %1 products to your shopping cart.", "Produkty dodane do koszyka: %1."
"%1 product requires your attention.", "Produkty wymagające sprawdzenia: %1."
"%1 products require your attention.", "Produkty wymagające sprawdzenia: %1."
"Yes, for Specified Customer Groups", "Tak, dla określonych grup klientów"
"Yes, for Everyone", "Tak, dla wszystkich"
"No", "Nie"
"The file is corrupt and can't be used.", "Plik jest uszkodzony i nie może być użyty."
"Please upload the file in .csv format.", "Proszę przesłać plik w formacie .csv"
"%1 item(s) need your attention.", "Produkty wymagające sprawdzenia: %1."
"Apply Coupon Code", "Zastosuj kod kuponu"
"Remove Coupon Code", "Usuń kod kuponu"
"The coupon code ""%1"" is not valid.", "Kod kuponu ""%1"" nie jest prawidłowy."
"Shopping Cart Items", "Produkty w koszyku"
"Qty", "Ilość"
"Subtotal", "Suma częściowa"
"Discount", "Zniżka"
"Row Subtotal", "Suma częściowa rzędu"
"No ordered items", "Brak zamówionych produktów"
"Total %1 product(s)", "Produkty: %1"
"Subtotal:", "Suma częściowa:"
"Please select", "Proszę wybrać"
"Move to Wish List", "Przenieś do listy życzeń"
"No item specified.", "Nie wybrano produktu."
"SKU number", "Numer SKU"
"Upload File", "Załaduj plik"
"Your csv file must include ""sku"" and ""qty"" columns.", "Plik csv musi zawierać kolumny ""sku"" oraz ""qty""."
"Reset", "Reset"
"SKU: ", "SKU: "
"Only <span id=""%1_max_allowed"">%2</span> in stock", "Tylko <span id=""%1_max_allowed"">%2</span> szt. w magazynie"
"Item", "Produkt"
"See price before order confirmation.", "Zobacz cenę przed potwierdzeniem zamówienia."
"What's this?", "Co to jest?"
"Incl. Tax", "Z podatkiem"
"Excl. Tax", "Bez podatku"
"Edit item parameters", "Edytuj parametry elementu"
"Edit", "Edytuj"
"Remove item", "Usuń produkt"
"Products Requiring Attention", "Produkty wymagające uwagi"
"Add to Cart", "Dodaj do koszyka"
"Sku", "SKU"
"File", "Plik"
"File extensions allowed: .csv", "Dozwolone rozszerzenia plików: .csv"
"Add Row", "Dodaj wiersz"
"Remove Row", "Usuń wiersz"
"Add Products By SKU", "Dodaj produktu po SKU"
"Shopping Cart Management", "Zarządzaj koszykiem"
"View Shopping Cart", "Zobacz koszyk"
"View and modify Shopping Cart", "Wyświetl i modyfikuj koszyk"
"Order by SKU Settings", "Sortuj po ustawieniach SKU"
"Enable Order by SKU on My Account in Storefront", "Włącz zamówienia przez SKU w zakładce Moje Konto w sklepie"
"Customer Groups", "Grupy klientów"
"Apply Coupon", "Zastosuj kupon"
"Order by SKU Description", "Sortuj po opisie SKU"
"Display a Link to Loading a Spreadsheet", "Wyświetl łącze do ładowania arkusza kalkulacyjnego"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget", "Określa, czy łącze do Moje Konto &gt; Zamów przez SKU będzie wyświetlone na widżecie"
"Link Text", "Tekst łącza"
"The text of the link to the My Account &gt; Order by SKU page", "Łącze do Mojego Konta &gt; Zamów przez stronę SKU"
"Load a list of SKUs", "Załaduj listę SKU"
"Order by SKU Template", "Sortuj po szablonie SKU"
"Please correct the data sent.", "Proszę poprawić wprowadzone dane."
"Entity type model '%1' is not found", "Nie znaleziono typu modelu '%1'"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType", "Model obiektu musi być instancją \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export", "Brak rodzajów produktów możliwych do eksportu"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface", "Klasa %1 nie implementuje \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule", "Reguły sprzedaży"
"Index sales rule", "Indeks reguł sprzedaży"
"Related Search Terms", "Podobne zapytania"
"Add New Search Term", "Dodaj nową frazę wyszukiwania"
"button_label", "button_label"
"Missing search engine parameter.", "Brakujący parametr wyszukiwarki."
"Successful! Test again?", "Sukces! Powtórzyć test?"
"Connection failed! Test again?", "Połączenie nie powiodło się! Powtórzyć test?"
"Enable Search Recommendations", "Włącz rekomendacje wyszukiwania"
"When you enable this option your site may slow down.", "Po włączeniu tej opcji strona może się spowolnić."
"Search Recommendations Count", "Liczba podpowiedzi wyszukiwania"
"Show Results Count for Each Recommendation", "Pokaż liczbę wyników dla każdej podpowiedzi"
"Enable Search Suggestions", "Włącz podpowiedzi wyszukiwania"
"Search Suggestions Count", "Liczba podpowiedzi wyszukiwania"
"Show Results Count for Each Suggestion", "Pokaż liczbę wyników dla każdej podpowiedzi"
"Related search terms", "Podobne wyszukiwania"
"Did you mean", "Czy chodziło Ci o"
"Search Query", "Fraza wyszukiwania"
"Store", "Sklep"
"Results", "Rezultaty"
"Uses", "Użyć"
"Redirect URL", "Przekierowanie URL"
"Suggested Term", "Sugerowany termin"
"Yes", "Tak"
"RPC call failed, connection timed out after %time_out.", "Wywołanie RPC nie powiodło się, przekroczenie czasu połączenia %time_out."
"Message has been rejected: %1", "Wiadomość została odrzucona: %1"
"Error while checking if topic is synchronous", "Błąd podczas sprawdzania, czy temat jest synchroniczny"
"Subscription status", "Status subskrypcji"
"Sorry, there has been an error processing your request. Please try again later.", "Niestety, nastąpił błąd podczas przetwarzania Twojego żądania. Proszę spróbować ponownie później."
"The time value is using an unsupported format. Enter a supported format and try again.", "Wartość czasu używa nieobsługiwanego formatu. Wprowadź obsługiwany format i spróbuj ponownie."
"Cron settings can't be saved", "Nie można zapisać ustawienia crona"
"There was an error save new configuration value.", "Wystąpił błąd. Zapisz nową wartość konfiguracji."
"Please select an industry.", "Wybierz branżę."
"Command ""%1"" was not found.", "Polecenie ""%1"" nie zostało znalezione."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.", "Dane są nieprawidłowe. Wprowadź dane jako ciąg znaków lub dane, które można przekonwertować na ciąg znaków, i spróbuj ponownie."
"The data is invalid. Enter the data as a string and try again.", "Dane są nieprawidłowe. Wprowadź dane jako ciąg i spróbuj ponownie."
"The data is invalid. Use a valid cipher method and try again.", "Dane są nieprawidłowe. Użyj prawidłowej metody szyfrowania i spróbuj ponownie."
"Enter the encryption key and try again.", "Wprowadź klucz szyfrowania i spróbuj ponownie."
"The ""%1"" source doesn't exist.", "Źródło ""%1"" nie istnieje."
"These arguments can't be empty ""%1""", "Te argumenty nie mogą być puste ""%1"""
"Cannot find predefined integration user!", "Nie można znaleźć zdefiniowanego użytkownika integracji!"
"File is not ready yet.", "Plik nie jest możliwy do odczytania."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.", "Twój podstawowy adres URL został zmieniony, a raporty są aktualizowane. Zaawansowane raportowanie będzie dostępne po przetworzeniu tej zmiany. Spróbuj ponownie później."
"Failed to synchronize data to the Magento Business Intelligence service. ", "Nie można zsynchronizować dane z Magento Business Intelligence service. "
"Retry Synchronization", "Ponów próbę synchronizacji"
"TestMessage", "WiadomośćTestowa"
"Apps and Games", "Aplikacje i gry"
"Athletic/Sporting Goods", "Artykuły sportowe"
"Art and Design", "Sztuka i projektowanie"
"Advanced Reporting", "Zaawansowane raportowanie"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.", "Zdobądź nowe informacje i przejmij kontrolę nad wydajnością swojej firmy, za pomocą naszych dynamicznych produktów oraz raportów dostosowanych do Twoich danych o klientach."
"Go to Advanced Reporting", "Idż do zaawansowanego raportowania"
"Analytics", "Analityka"
"API", "Interfejs API"
"Configuration", "Konfiguracja"
"Business Intelligence", "Inteligencja Biznesowa"
"BI Essentials", "Elementy BI"
"This service provides a dynamic suite of reports with rich insights about your business.
Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
terms and conditions</a>.", "Usługa ta zapewnia dynamiczny zestaw raportów zawierających dogłębną analizę na temat Twojej firmy.                 Możesz bez problemu zobaczyć swoje raporty w spersonalizowanym pulpicie nawigacyjnym poza panelem administratora, klikając przycisk ""Przejdź do Raportowania Zaawansowanego"". </br> W celu uzyskania większej ilości informacji, zobacz nasze warunki                <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">warunki</a>."
"Advanced Reporting Service", "Zaawansowane Usługi Raportowania"
"Time of day to send data", "Pora dnia do wysyłania danych"
"Industry Data", "Dane branżowe"
"Industry", "Branża"
"In order to personalize your Advanced Reporting experience, please select your industry.", "Aby spersonalizować środowisko zaawansowane raportowanie, proszę wybierz branżę."
"<strong>Get more insights from Magento Business Intelligence</strong>", "<strong>uzyskaj więcej statystyk z Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
becoming more data driven.</br> Learn more about <a target=""_blank""
href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.", "Magento Business Intelligence zapewnia proste i jasne ścieżki do coraz większej ilości danych.</br> Dowiedz się więcej o <a target=""_blank""
href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> warstwy."
"Auto Parts", "Części samochodowe"
"Baby/Children’s Apparel, Gear and Toys", "Dziecko/dzieci Odzież, sprzęt i zabawki"
"Beauty and Cosmetics", "Uroda i kosmetyki"
"Books, Music and Magazines", "Książki, muzyka i czasopisma"
"Crafts and Stationery", "Rzemiosła i artykuły papiernicze"
"Consumer Electronics", "Elektronika użytkowa"
"Deal Site", "Strona transakcji"
"Fashion Apparel and Accessories", "Moda ubrania i akcesoria"
"Food, Beverage and Grocery", "Żywność, napoje i produkty spożywcze"
"Home Goods and Furniture", "Przedmioty do domu i meble"
"Home Improvement", "Majsterkowanie"
"Jewelry and Watches", "Biżuteria i zegarki"
"Mass Merchant", "Klient hurtowy"
"Office Supplies", "Artykuły biurowe"
"Outdoor and Camping Gear", "Sprzęt outdoorowy i kempingowy"
"Pet Goods", "Produkty dla zwierząt"
"Pharma and Medical Devices", "Farmacja i urządzenia medyczne"
"Technology B2B", "Technologia B2B"
"Other", "Inne"
"Retry", "Ponów próbę"
"'Action Details - #' .", "'Szczegóły akcji - #'."
"Bulk Actions Log", "Masowe przetwarzanie"
"Bulk uuid %bulkUuid not exist", "Zbiorczy uuid %bulkUuid nie istnieje"
"Topic %1", "Temat %1"
"Something went wrong while processing the request.", "Coś poszło nie tak podczas przetwarzania żądania."
"Error processing %key element of input data", "Błąd przetwarzania %key elementu danych wejściowych"
"Sorry, something went wrong during product prices update. Please see log for details.", "Przepraszamy, coś poszło nie tak podczas aktualizacji cen produktów. Szczegóły znajdziesz w logu."
"%1 item(s) are currently being updated.", "%1 elementy są obecnie aktualizowane."
"Task ""%1"": ", "Zadanie ""%1"": "
"%1 item(s) have been scheduled for update.", "%1 element(y) zostały zaplanowane do aktualizacji."
"%1 item(s) have been successfully updated.", "%1 element(y) zostały pomyślnie zaktualizowane."
"%1 item(s) failed to update", "element(y) %1 nie powiodła się aktualizacja"
"Details", "Szczegóły"
"View Details", "Zobacz szczegóły"
"Dismiss", "Zignoruj"
"Pending, in queue...", "Oczekujące, w kolejce..."
"%1 items selected for mass update", "%1 elementy wybrane do masowej aktualizacji"
", %1 successfully updated", ", %1 pomyślnie zaktualizowano"
", %1 failed to update", ", %1 nie udało się zaktualizować"
"Something went wrong.", "Coś poszło nie tak."
"Action Log", "Dziennik działań"
"Report", "Report"
"Action Logs", "Logi akcji"
"Days Saved in Log", "Dni, zapisane w dzienniku"
"Description of Operation", "Opis operacji"
"Summary", "Podsumowanie"
"Start Time", "Czas rozpoczęcia"
"Items to Retry", "Elementy do ponowienia"
"To retry, select the items and click “Retry”.", "Aby ponowić próbę, zaznacz elementy i kliknij przycisk ""Ponów próbę""."
"Items That Can’t Be Updated.", "Elementy, które nie mogą być aktualizowane."
"Status", "Stan"
"Action", "Akcja"
"Actions", "Akcje"
"Meta Information", "Metainformacje"
"Error", "Błąd"
"Dismiss All Completed Tasks", "Odrzucić wszystkie zakończone zadania"
"Action Details - #", "'Szczegóły akcji - #'"
"Number of Records Affected", "Liczba rekordów, których dotyczy"
"The role wasn't found for the user. Verify the role and try again.", "Nie znaleziono roli dla użytkownika. Sprawdź rolę i spróbuj ponownie."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.", "Coś poszło nie tak podczas kompilowania listy dozwolonych zasobów. Więcej informacji znajdziesz w dzienniku działań."
"You created the order.", "Złożono zamówienie."
"Order saving error: %1", "Błąd podczas zapisywania zamówienia: %1"
"Please choose a payment method.", "Wybierz metodę płatności."
"We can't process your order right now. Please try again later.", "W tej chwili nie możemy zrealizować zamówienia. Spróbuj ponownie później."
"An error occurred on the server. Please try to place the order again.", "Wystąpił błąd z serwerem. Spróbuj ponownie złożyć zamówienie."
"Credit Card: xxxx-%1", "Karta kredytowa: xxxx-%1"
"amount %1", "kwota %1"
"failed.", "nieudane."
"successful.", "zakończona pomyślnie."
"Authorize.Net Transaction ID %1.", "ID transakcji Authorize.Net %1."
"authorize", "autoryzuj"
"authorize and capture", "autoryzuj i przechwyć"
"capture", "przechwyć"
"refund", "zwróć"
"void", "unieważniony"
"Gateway error: %1", "Błąd bramki: %1"
"Something went wrong in the payment gateway.", "Wystąpił błąd w bramce płatności."
"Invalid amount for capture.", "Nieprawidłowa ilość do przechwycenia."
"Payment capturing error.", "Błąd przechwycenia płatności."
"Invalid transaction ID.", "Nieprawidłowy identyfikator transakcji."
"Payment voiding error.", "Błąd unieważnienia płatności."
"Invalid amount for refund.", "Nieprawidłowa kwota do refundacji."
"Payment refunding error.", "Błąd refundacji płatności."
"The transaction was declined because the response hash validation failed.", "Transakcja została odrzucona, ponieważ nie udało się zweryfikować odpowiedzi."
"This payment didn't work out because we can't find this order.", "Płatności nie działa, ponieważ nie możemy znaleźć tego zamówienia."
"There was a payment authorization error.", "Wystąpił błąd autoryzacji płatności."
"Please enter a transaction ID to authorize this payment.", "Proszę wprowadzić ID transakcji, aby autoryzować płatność."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.", "Coś się zepsuło: wypłacona kwota nie pasuje do kwoty zamówienia. Popraw to i spróbuj ponownie."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""", "Transakcja %1 została zatwierdzona. Kwota transakcji wynosi %2. Status transakcji to ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.", "%1 transakcji zostało anulowana/unieważniona. Status transakcji jest ""%2"". Kwota %3."
"Authorize Only", "Tylko autoryzacja"
"Authorize and Capture", "Autoryzuj i przechwyć"
"Unable to get transaction details. Try again later.", "Nie udało się pobrać szczegółów transakcji. Spróbuj ponownie później."
"Electronic payments save the trees.", "Płatności elektroniczne ratują drzewa."
"Credit Card Type", "Typ karty kredytowej"
"Credit Card Number", "Numer karty kredytowej"
"Expiration Date", "Termin ważności"
"Card Verification Number", "Numer weryfikacyjny karty"
"Fraud Detection ", "Wykrywanie nadużyć "
"FDS Filter Action", "Akcja filtru FDS"
"AVS Response", "Odpowiedź AVS"
"Card Code Response", "Kod Karty Odpowiedzi"
"CAVV Response", "Odpowiedź CAVV"
"Fraud Filters", "Filtry nadużyć"
"Place Order", "Złóż zamówienie"
"Sorry, but something went wrong. Please contact the seller.", "Przepraszamy, ale coś poszło nie tak. Proszę skontaktować się ze sprzedawcą."
"Authorize.net Direct Post", "Authorize.net Direct Post"
"Enabled", "Włączone"
"Payment Action", "Akcja płatności"
"Title", "Tytuł"
"API Login ID", "ID logowania API"
"Transaction Key", "Klucz transakcji"
"Merchant MD5", "MD5 handlowca"
"New Order Status", "Status nowego zamówienia"
"Test Mode", "Tryb testowy"
"Gateway URL", "URL bramki"
"Transaction Details URL", "Adres URL szczegóły transakcji"
"Accepted Currency", "Akceptowana waluta"
"Debug", "Tryb debugowania"
"Email Customer", "Wyślij e-mail do klienta"
"Merchant's Email", "E-mail handlowca"
"Credit Card Types", "Typy kart kredytowych"
"Credit Card Verification", "Weryfikacja karty kredytowej"
"Payment from Applicable Countries", "Płatność z odpowiednich krajów"
"Payment from Specific Countries", "Płatność z określonych krajów"
"Minimum Order Total", "Minimalna suma zamówienia"
"Maximum Order Total", "Maksymalna suma zamówienia"
"Sort Order", "Kolejność sortowania"
"Cannot place order.", "Nie można złożyć zamówienia."
"'Gateway error: ' .", "'Błąd bramki: ' ."
"Unable to place order. Please try again later.", "Nie można złożyć zamówienia. Proszę spróbować ponownie później."
"The transaction details are unavailable. Please try again later.", "Szczegóły transakcji nie są dostępne. Spróbuj ponownie później."
"Authorize.Net Direct Post (Deprecated)", "Authorize.Net Direct Post (nieużywana)"
"Signature Key", "Klucz Podpisu"
"There was an error while trying to process the request.", "Wystąpił błąd w czasie przetwarzania zapytania."
"This transaction cannot be refunded with its current status.", "Płatność za transakcję nie może zostać zwrócona ze względu na jej obecny status."
"The authenticity of the gateway response could not be verified.", "Autentyczność odpowiedzi z bramki nie może zostać zweryfikowana."
"Authorize.Net", "Authorize.Net"
"Basic Authorize.Net Settings", "Podstawowe ustawienia Authorize.Net"
"Environment", "Środowisko"
"Public Client Key", "Klucz Publiczny Klienta"
"Merchant MD5 (deprecated)", "Merchant MD5 (nieużywany)"
"Advanced Authorize.Net Settings", "Zaawansowane ustawienia Authorize.Net"
"Enable Credit Card Verification Field", "Włącz pole weryfikacji karty kredytowej"
"Invalid request to gateway.", "Nieprawidłowe zapytanie do bramki."
"Invalid gateway credentials.", "Nieprawidłowe dane logowania do bramki."
"Transaction has been declined. Please try again later.", "Transakcja została odrzucona. Prosimy spróbować ponownie później."
"Close", "Zamknij"
"options", "opcje"
"Select all", "Zaznacz wszystko"
"Deselect all", "Odznacz wszystko"
"Cancel", "Anuluj"
"Done", "Gotowe"
"We couldn't find any records.", "Nie mogliśmy znaleźć żadnych rekordów."
"per page", "na stronę"
"Please Select", "Proszę wybrać"
"%s of %s selected", "wybrano % z %"
